"xmlns","series","url","limit","offset","total","RaceTable__season","RaceTable__Races__season","RaceTable__Races__round","RaceTable__Races__url","RaceTable__Races__raceName","RaceTable__Races__Circuit__circuitId","RaceTable__Races__Circuit__url","RaceTable__Races__Circuit__circuitName","RaceTable__Races__Circuit__Location__lat","RaceTable__Races__Circuit__Location__long","RaceTable__Races__Circuit__Location__locality","RaceTable__Races__Circuit__Location__country","RaceTable__Races__date","RaceTable__Races__time","RaceTable__Races__Results__number","RaceTable__Races__Results__position","RaceTable__Races__Results__positionText","RaceTable__Races__Results__points","RaceTable__Races__Results__Driver__driverId","RaceTable__Races__Results__Driver__permanentNumber","RaceTable__Races__Results__Driver__code","RaceTable__Races__Results__Driver__url","RaceTable__Races__Results__Driver__givenName","RaceTable__Races__Results__Driver__familyName","RaceTable__Races__Results__Driver__dateOfBirth","RaceTable__Races__Results__Driver__nationality","RaceTable__Races__Results__Constructor__constructorId","RaceTable__Races__Results__Constructor__url","RaceTable__Races__Results__Constructor__name","RaceTable__Races__Results__Constructor__nationality","RaceTable__Races__Results__grid","RaceTable__Races__Results__laps","RaceTable__Races__Results__status","RaceTable__Races__Results__Time__millis","RaceTable__Races__Results__Time__time","RaceTable__Races__Results__FastestLap__rank","RaceTable__Races__Results__FastestLap__lap","RaceTable__Races__Results__FastestLap__Time__time","RaceTable__Races__Results__FastestLap__AverageSpeed__units","RaceTable__Races__Results__FastestLap__AverageSpeed__speed"
"","","","","","","","","","","","","","","","","","","","","20","13","13","0","kevin_magnussen","20","MAG","http://en.wikipedia.org/wiki/Kevin_Magnussen","Kevin","Magnussen","1992-10-05","Danish","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","15","51","Finished","6264954","+40.663","16","35","1:48.155","kph","199.813"
"","","","","","","","","","","","","","","","","","","","","77","14","R","0","bottas","77","BOT","http://en.wikipedia.org/wiki/Valtteri_Bottas","Valtteri","Bottas","1989-08-28","Finnish","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","3","48","Puncture","","","1","37","1:45.149","kph","205.525"
"","","","","","","","","","","","","","","","","","","","","8","15","R","0","grosjean","8","GRO","http://en.wikipedia.org/wiki/Romain_Grosjean","Romain","Grosjean","1986-04-17","French","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","20","42","Accident","","","10","34","1:46.880","kph","202.196"
"","","","","","","","","","","","","","","","","","","","","33","16","R","0","max_verstappen","33","VER","http://en.wikipedia.org/wiki/Max_Verstappen","Max","Verstappen","1997-09-30","Dutch","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","5","39","Collision","","","5","31","1:45.771","kph","204.316"
"","","","","","","","","","","","","","","","","","","","","3","17","R","0","ricciardo","3","RIC","http://en.wikipedia.org/wiki/Daniel_Ricciardo","Daniel","Ricciardo","1989-07-01","Australian","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","4","39","Collision","","","3","34","1:45.419","kph","204.999"
"","","","","","","","","","","","","","","","","","","","","27","18","R","0","hulkenberg","27","HUL","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg","Nico","Hülkenberg","1987-08-19","German","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","14","10","Accident","","","18","10","1:48.867","kph","198.506"
"","","","","","","","","","","","","","","","","","","","","31","19","R","0","ocon","31","OCO","http://en.wikipedia.org/wiki/Esteban_Ocon","Esteban","Ocon","1996-09-17","French","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","7","0","Collision","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","35","20","R","0","sirotkin","35","SIR","http://en.wikipedia.org/wiki/Sergey_Sirotkin_(racing_driver)","Sergey","Sirotkin","1995-08-27","Russian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","11","0","Collision","","","","","","",""
"","","","","","","","2018","5","https://en.wikipedia.org/wiki/2018_Spanish_Grand_Prix","Spanish Grand Prix","catalunya","http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya","Circuit de Barcelona-Catalunya","41.57","2.26111","Montmeló","Spain","2018-05-13","13:10:00Z","44","1","1","25","hamilton","44","HAM","http://en.wikipedia.org/wiki/Lewis_Hamilton","Lewis","Hamilton","1985-01-07","British","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","1","66","Finished","5729972","1:35:29.972","3","64","1:19.133","kph","211.770"
"","","","","","","","","","","","","","","","","","","","","77","2","2","18","bottas","77","BOT","http://en.wikipedia.org/wiki/Valtteri_Bottas","Valtteri","Bottas","1989-08-28","Finnish","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","2","66","Finished","5750565","+20.593","5","56","1:19.478","kph","210.850"
"","","","","","","","","","","","","","","","","","","","","33","3","3","15","max_verstappen","33","VER","http://en.wikipedia.org/wiki/Max_Verstappen","Max","Verstappen","1997-09-30","Dutch","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","5","66","Finished","5756845","+26.873","4","62","1:19.422","kph","210.999"
"","","","","","","","","","","","","","","","","","","","","5","4","4","12","vettel","5","VET","http://en.wikipedia.org/wiki/Sebastian_Vettel","Sebastian","Vettel","1987-07-03","German","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","3","66","Finished","5757556","+27.584","2","61","1:19.128","kph","211.783"
"","","","","","","","","","","","","","","","","","","","","3","5","5","10","ricciardo","3","RIC","http://en.wikipedia.org/wiki/Daniel_Ricciardo","Daniel","Ricciardo","1989-07-01","Australian","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","6","66","Finished","5780030","+50.058","1","61","1:18.441","kph","213.638"
"","","","","","","","","","","","","","","","","","","","","20","6","6","8","kevin_magnussen","20","MAG","http://en.wikipedia.org/wiki/Kevin_Magnussen","Kevin","Magnussen","1992-10-05","Danish","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","7","65","+1 Lap","","","6","64","1:20.246","kph","208.832"
"","","","","","","","","","","","","","","","","","","","","55","7","7","6","sainz","55","SAI","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.","Carlos","Sainz","1994-09-01","Spanish","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","9","65","+1 Lap","","","9","61","1:21.324","kph","206.064"
"","","","","","","","","","","","","","","","","","","","","14","8","8","4","alonso","14","ALO","http://en.wikipedia.org/wiki/Fernando_Alonso","Fernando","Alonso","1981-07-29","Spanish","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","8","65","+1 Lap","","","7","64","1:20.727","kph","207.588"
"","","","","","","","","","","","","","","","","","","","","11","9","9","2","perez","11","PER","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez","Sergio","Pérez","1990-01-26","Mexican","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","15","64","+2 Laps","","","8","43","1:21.128","kph","206.562"
"","","","","","","","","","","","","","","","","","","","","16","10","10","1","leclerc","16","LEC","http://en.wikipedia.org/wiki/Charles_Leclerc_(racing_driver)","Charles","Leclerc","1997-10-16","Monegasque","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","14","64","+2 Laps","","","14","51","1:22.122","kph","204.062"
"","","","","","","","","","","","","","","","","","","","","18","11","11","0","stroll","18","STR","http://en.wikipedia.org/wiki/Lance_Stroll","Lance","Stroll","1998-10-29","Canadian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","18","64","+2 Laps","","","12","60","1:22.095","kph","204.129"
"","","","","","","","","","","","","","","","","","","","","28","12","12","0","brendon_hartley","28","HAR","http://en.wikipedia.org/wiki/Brendon_Hartley","Brendon","Hartley","1989-11-10","New Zealander","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","20","64","+2 Laps","","","10","63","1:21.439","kph","205.773"
"","","","","","","","","","","","","","","","","","","","","9","13","13","0","ericsson","9","ERI","http://en.wikipedia.org/wiki/Marcus_Ericsson","Marcus","Ericsson","1990-09-02","Swedish","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","17","64","+2 Laps","","","15","50","1:22.487","kph","203.159"
"","","","","","","","","","","","","","","","","","","","","35","14","14","0","sirotkin","35","SIR","http://en.wikipedia.org/wiki/Sergey_Sirotkin_(racing_driver)","Sergey","Sirotkin","1995-08-27","Russian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","19","63","+3 Laps","","","17","57","1:22.680","kph","202.685"
"","","","","","","","","","","","","","","","","","","","","2","15","R","0","vandoorne","2","VAN","http://en.wikipedia.org/wiki/Stoffel_Vandoorne","Stoffel","Vandoorne","1992-03-26","Belgian","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","11","45","Gearbox","","","16","38","1:22.594","kph","202.896"
"","","","","","","","","","","","","","","","","","","","","31","16","R","0","ocon","31","OCO","http://en.wikipedia.org/wiki/Esteban_Ocon","Esteban","Ocon","1996-09-17","French","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","13","38","Oil leak","","","13","36","1:22.117","kph","204.074"
"","","","","","","","","","","","","","","","","","","","","7","17","R","0","raikkonen","7","RAI","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen","Kimi","Räikkönen","1979-10-17","Finnish","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","4","25","Turbo","","","11","23","1:21.531","kph","205.541"
"","","","","","","","","","","","","","","","","","","","","8","18","R","0","grosjean","8","GRO","http://en.wikipedia.org/wiki/Romain_Grosjean","Romain","Grosjean","1986-04-17","French","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","10","0","Collision","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","10","19","R","0","gasly","10","GAS","http://en.wikipedia.org/wiki/Pierre_Gasly","Pierre","Gasly","1996-02-07","French","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","12","0","Collision","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","27","20","R","0","hulkenberg","27","HUL","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg","Nico","Hülkenberg","1987-08-19","German","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","16","0","Collision","","","","","","",""
"","","","","","","","2018","6","https://en.wikipedia.org/wiki/2018_Monaco_Grand_Prix","Monaco Grand Prix","monaco","http://en.wikipedia.org/wiki/Circuit_de_Monaco","Circuit de Monaco","43.7347","7.42056","Monte-Carlo","Monaco","2018-05-27","13:10:00Z","3","1","1","25","ricciardo","3","RIC","http://en.wikipedia.org/wiki/Daniel_Ricciardo","Daniel","Ricciardo","1989-07-01","Australian","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","1","78","Finished","6174807","1:42:54.807","5","13","1:15.562","kph","158.984"
"","","","","","","","","","","","","","","","","","","","","5","2","2","18","vettel","5","VET","http://en.wikipedia.org/wiki/Sebastian_Vettel","Sebastian","Vettel","1987-07-03","German","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","2","78","Finished","6182143","+7.336","7","14","1:16.065","kph","157.933"
"","","","","","","","","","","","","","","","","","","","","44","3","3","15","hamilton","44","HAM","http://en.wikipedia.org/wiki/Lewis_Hamilton","Lewis","Hamilton","1985-01-07","British","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","3","78","Finished","6191820","+17.013","8","15","1:16.270","kph","157.508"
"","","","","","","","","","","","","","","","","","","","","7","4","4","12","raikkonen","7","RAI","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen","Kimi","Räikkönen","1979-10-17","Finnish","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","4","78","Finished","6192934","+18.127","10","13","1:16.392","kph","157.257"
"","","","","","","","","","","","","","","","","","","","","77","5","5","10","bottas","77","BOT","http://en.wikipedia.org/wiki/Valtteri_Bottas","Valtteri","Bottas","1989-08-28","Finnish","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","5","78","Finished","6193629","+18.822","9","21","1:16.312","kph","157.422"
"","","","","","","","","","","","","","","","","","","","","31","6","6","8","ocon","31","OCO","http://en.wikipedia.org/wiki/Esteban_Ocon","Esteban","Ocon","1996-09-17","French","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","6","78","Finished","6198474","+23.667","14","63","1:17.027","kph","155.960"
"","","","","","","","","","","","","","","","","","","","","10","7","7","6","gasly","10","GAS","http://en.wikipedia.org/wiki/Pierre_Gasly","Pierre","Gasly","1996-02-07","French","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","10","78","Finished","6199138","+24.331","15","68","1:17.099","kph","155.815"
"","","","","","","","","","","","","","","","","","","","","27","8","8","4","hulkenberg","27","HUL","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg","Nico","Hülkenberg","1987-08-19","German","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","11","78","Finished","6199646","+24.839","6","57","1:16.061","kph","157.941"
"","","","","","","","","","","","","","","","","","","","","33","9","9","2","max_verstappen","33","VER","http://en.wikipedia.org/wiki/Max_Verstappen","Max","Verstappen","1997-09-30","Dutch","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","20","78","Finished","6200124","+25.317","1","60","1:14.260","kph","161.772"
"","","","","","","","","","","","","","","","","","","","","55","10","10","1","sainz","55","SAI","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.","Carlos","Sainz","1994-09-01","Spanish","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","8","78","Finished","6243820","+1:09.013","18","19","1:17.491","kph","155.027"
"","","","","","","","","","","","","","","","","","","","","9","11","11","0","ericsson","9","ERI","http://en.wikipedia.org/wiki/Marcus_Ericsson","Marcus","Ericsson","1990-09-02","Swedish","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","16","78","Finished","6244671","+1:09.864","12","19","1:16.936","kph","156.145"
"","","","","","","","","","","","","","","","","","","","","11","12","12","0","perez","11","PER","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez","Sergio","Pérez","1990-01-26","Mexican","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","9","78","Finished","6245268","+1:10.461","19","24","1:17.546","kph","154.917"
"","","","","","","","","","","","","","","","","","","","","20","13","13","0","kevin_magnussen","20","MAG","http://en.wikipedia.org/wiki/Kevin_Magnussen","Kevin","Magnussen","1992-10-05","Danish","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","19","78","Finished","6249630","+1:14.823","17","20","1:17.476","kph","155.057"
"","","","","","","","","","","","","","","","","","","","","2","14","14","0","vandoorne","2","VAN","http://en.wikipedia.org/wiki/Stoffel_Vandoorne","Stoffel","Vandoorne","1992-03-26","Belgian","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","12","77","+1 Lap","","","11","76","1:16.864","kph","156.291"
"","","","","","","","","","","","","","","","","","","","","8","15","15","0","grosjean","8","GRO","http://en.wikipedia.org/wiki/Romain_Grosjean","Romain","Grosjean","1986-04-17","French","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","18","77","+1 Lap","","","2","74","1:14.822","kph","160.557"
"","","","","","","","","","","","","","","","","","","","","35","16","16","0","sirotkin","35","SIR","http://en.wikipedia.org/wiki/Sergey_Sirotkin_(racing_driver)","Sergey","Sirotkin","1995-08-27","Russian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","13","77","+1 Lap","","","4","75","1:15.325","kph","159.484"
"","","","","","","","","","","","","","","","","","","","","18","17","17","0","stroll","18","STR","http://en.wikipedia.org/wiki/Lance_Stroll","Lance","Stroll","1998-10-29","Canadian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","17","76","+2 Laps","","","3","61","1:14.944","kph","160.295"
"","","","","","","","","","","","","","","","","","","","","16","18","R","0","leclerc","16","LEC","http://en.wikipedia.org/wiki/Charles_Leclerc_(racing_driver)","Charles","Leclerc","1997-10-16","Monegasque","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","14","70","Collision","","","20","17","1:17.710","kph","154.590"
"","","","","","","","","","","","","","","","","","","","","28","19","R","0","brendon_hartley","28","HAR","http://en.wikipedia.org/wiki/Brendon_Hartley","Brendon","Hartley","1989-11-10","New Zealander","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","15","70","Collision","","","16","15","1:17.172","kph","155.667"
"","","","","","","","","","","","","","","","","","","","","14","20","R","0","alonso","14","ALO","http://en.wikipedia.org/wiki/Fernando_Alonso","Fernando","Alonso","1981-07-29","Spanish","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","7","52","Gearbox","","","13","23","1:17.018","kph","155.979"
"","","","","","","","2018","7","https://en.wikipedia.org/wiki/2018_Canadian_Grand_Prix","Canadian Grand Prix","villeneuve","http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve","Circuit Gilles Villeneuve","45.5","-73.5228","Montreal","Canada","2018-06-10","18:10:00Z","5","1","1","25","vettel","5","VET","http://en.wikipedia.org/wiki/Sebastian_Vettel","Sebastian","Vettel","1987-07-03","German","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","1","68","Finished","5311377","1:28:31.377","2","57","1:13.964","kph","212.260"
"","","","","","","","","","","","","","","","","","","","","77","2","2","18","bottas","77","BOT","http://en.wikipedia.org/wiki/Valtteri_Bottas","Valtteri","Bottas","1989-08-28","Finnish","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","2","68","Finished","5318753","+7.376","3","51","1:13.992","kph","212.179"
"","","","","","","","","","","","","","","","","","","","","33","3","3","15","max_verstappen","33","VER","http://en.wikipedia.org/wiki/Max_Verstappen","Max","Verstappen","1997-09-30","Dutch","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","3","68","Finished","5319737","+8.360","1","65","1:13.864","kph","212.547"
"","","","","","","","","","","","","","","","","","","","","3","4","4","12","ricciardo","3","RIC","http://en.wikipedia.org/wiki/Daniel_Ricciardo","Daniel","Ricciardo","1989-07-01","Australian","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","6","68","Finished","5332269","+20.892","5","59","1:14.159","kph","211.701"
"","","","","","","","","","","","","","","","","","","","","44","5","5","10","hamilton","44","HAM","http://en.wikipedia.org/wiki/Lewis_Hamilton","Lewis","Hamilton","1985-01-07","British","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","4","68","Finished","5332936","+21.559","6","66","1:14.183","kph","211.633"
"","","","","","","","","","","","","","","","","","","","","7","6","6","8","raikkonen","7","RAI","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen","Kimi","Räikkönen","1979-10-17","Finnish","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","5","68","Finished","5338561","+27.184","4","59","1:14.075","kph","211.941"
"","","","","","","","","","","","","","","","","","","","","27","7","7","6","hulkenberg","27","HUL","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg","Nico","Hülkenberg","1987-08-19","German","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","7","67","+1 Lap","","","11","64","1:15.588","kph","207.699"
"","","","","","","","","","","","","","","","","","","","","55","8","8","4","sainz","55","SAI","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.","Carlos","Sainz","1994-09-01","Spanish","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","9","67","+1 Lap","","","13","61","1:15.666","kph","207.485"
"","","","","","","","","","","","","","","","","","","","","31","9","9","2","ocon","31","OCO","http://en.wikipedia.org/wiki/Esteban_Ocon","Esteban","Ocon","1996-09-17","French","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","8","67","+1 Lap","","","12","61","1:15.610","kph","207.639"
"","","","","","","","","","","","","","","","","","","","","16","10","10","1","leclerc","16","LEC","http://en.wikipedia.org/wiki/Charles_Leclerc_(racing_driver)","Charles","Leclerc","1997-10-16","Monegasque","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","13","67","+1 Lap","","","10","65","1:15.480","kph","207.996"
"","","","","","","","","","","","","","","","","","","","","10","11","11","0","gasly","10","GAS","http://en.wikipedia.org/wiki/Pierre_Gasly","Pierre","Gasly","1996-02-07","French","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","16","67","+1 Lap","","","14","67","1:15.699","kph","207.395"
"","","","","","","","","","","","","","","","","","","","","8","12","12","0","grosjean","8","GRO","http://en.wikipedia.org/wiki/Romain_Grosjean","Romain","Grosjean","1986-04-17","French","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","20","67","+1 Lap","","","9","56","1:15.470","kph","208.024"
"","","","","","","","","","","","","","","","","","","","","20","13","13","0","kevin_magnussen","20","MAG","http://en.wikipedia.org/wiki/Kevin_Magnussen","Kevin","Magnussen","1992-10-05","Danish","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","11","67","+1 Lap","","","8","65","1:15.401","kph","208.214"
"","","","","","","","","","","","","","","","","","","","","11","14","14","0","perez","11","PER","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez","Sergio","Pérez","1990-01-26","Mexican","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","10","67","+1 Lap","","","7","64","1:15.100","kph","209.049"
"","","","","","","","","","","","","","","","","","","","","9","15","15","0","ericsson","9","ERI","http://en.wikipedia.org/wiki/Marcus_Ericsson","Marcus","Ericsson","1990-09-02","Swedish","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","19","66","+2 Laps","","","18","62","1:16.403","kph","205.484"
"","","","","","","","","","","","","","","","","","","","","2","16","16","0","vandoorne","2","VAN","http://en.wikipedia.org/wiki/Stoffel_Vandoorne","Stoffel","Vandoorne","1992-03-26","Belgian","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","15","66","+2 Laps","","","15","55","1:15.765","kph","207.214"
"","","","","","","","","","","","","","","","","","","","","35","17","17","0","sirotkin","35","SIR","http://en.wikipedia.org/wiki/Sergey_Sirotkin_(racing_driver)","Sergey","Sirotkin","1995-08-27","Russian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","18","66","+2 Laps","","","16","53","1:15.924","kph","206.780"
"","","","","","","","","","","","","","","","","","","","","14","18","R","0","alonso","14","ALO","http://en.wikipedia.org/wiki/Fernando_Alonso","Fernando","Alonso","1981-07-29","Spanish","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","14","40","Exhaust","","","17","33","1:16.180","kph","206.085"
"","","","","","","","","","","","","","","","","","","","","28","19","R","0","brendon_hartley","28","HAR","http://en.wikipedia.org/wiki/Brendon_Hartley","Brendon","Hartley","1989-11-10","New Zealander","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","12","0","Collision","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","18","20","R","0","stroll","18","STR","http://en.wikipedia.org/wiki/Lance_Stroll","Lance","Stroll","1998-10-29","Canadian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","17","0","Collision","","","","","","",""
"","","","","","","","2018","8","https://en.wikipedia.org/wiki/2018_French_Grand_Prix","French Grand Prix","ricard","http://en.wikipedia.org/wiki/Paul_Ricard_Circuit","Circuit Paul Ricard","43.2506","5.79167","Le Castellet","France","2018-06-24","14:10:00Z","44","1","1","25","hamilton","44","HAM","http://en.wikipedia.org/wiki/Lewis_Hamilton","Lewis","Hamilton","1985-01-07","British","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","1","53","Finished","5411385","1:30:11.385","5","49","1:34.509","kph","222.531"
"","","","","","","","","","","","","","","","","","","","","33","2","2","18","max_verstappen","33","VER","http://en.wikipedia.org/wiki/Max_Verstappen","Max","Verstappen","1997-09-30","Dutch","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","4","53","Finished","5418475","+7.090","2","47","1:34.275","kph","223.083"
"","","","","","","","","","","","","","","","","","","","","7","3","3","15","raikkonen","7","RAI","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen","Kimi","Räikkönen","1979-10-17","Finnish","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","6","53","Finished","5437273","+25.888","3","48","1:34.398","kph","222.792"
"","","","","","","","","","","","","","","","","","","","","3","4","4","12","ricciardo","3","RIC","http://en.wikipedia.org/wiki/Daniel_Ricciardo","Daniel","Ricciardo","1989-07-01","Australian","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","5","53","Finished","5446121","+34.736","7","37","1:35.382","kph","220.494"
"","","","","","","","","","","","","","","","","","","","","5","5","5","10","vettel","5","VET","http://en.wikipedia.org/wiki/Sebastian_Vettel","Sebastian","Vettel","1987-07-03","German","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","3","53","Finished","5473320","+1:01.935","4","42","1:34.485","kph","222.587"
"","","","","","","","","","","","","","","","","","","","","20","6","6","8","kevin_magnussen","20","MAG","http://en.wikipedia.org/wiki/Kevin_Magnussen","Kevin","Magnussen","1992-10-05","Danish","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","9","53","Finished","5490749","+1:19.364","8","50","1:35.425","kph","220.395"
"","","","","","","","","","","","","","","","","","","","","77","7","7","6","bottas","77","BOT","http://en.wikipedia.org/wiki/Valtteri_Bottas","Valtteri","Bottas","1989-08-28","Finnish","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","2","53","Finished","5492017","+1:20.632","1","41","1:34.225","kph","223.201"
"","","","","","","","","","","","","","","","","","","","","55","8","8","4","sainz","55","SAI","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.","Carlos","Sainz","1994-09-01","Spanish","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","7","53","Finished","5498569","+1:27.184","9","46","1:35.638","kph","219.904"
"","","","","","","","","","","","","","","","","","","","","27","9","9","2","hulkenberg","27","HUL","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg","Nico","Hülkenberg","1987-08-19","German","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","12","53","Finished","5503374","+1:31.989","11","46","1:35.873","kph","219.365"
"","","","","","","","","","","","","","","","","","","","","16","10","10","1","leclerc","16","LEC","http://en.wikipedia.org/wiki/Charles_Leclerc_(racing_driver)","Charles","Leclerc","1997-10-16","Monegasque","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","8","53","Finished","5505258","+1:33.873","12","45","1:35.977","kph","219.127"
